date,personal_income,disposable_income,real_disposable_income,personal_consumption,personal_saving,saving_rate,compensation,wages_salaries,private_wages,govt_wages,supplements,proprietors_income,farm_income,nonfarm_income,rental_income,interest_income,dividend_income,transfer_receipts,social_security,medicare,medicaid,unemployment,veterans,social_contributions,personal_taxes,population,dpi_per_capita
1959-01-31,391.8,351.5,2318.4,306.1,39.6,11.3,278.0,252.3,206.8,45.5,25.7,50.1,11.1,38.9,15.0,26.6,11.8,23.9,22.7,,,3.4,4.5,13.6,40.2,175818.0,1999.0
1959-02-28,393.7,352.9,2325.4,309.6,37.5,10.6,279.3,253.6,208.2,45.4,25.7,50.0,10.9,39.1,15.0,26.7,12.2,24.1,22.9,,,3.1,4.6,13.6,40.8,176044.0,2005.0
1959-03-31,396.5,355.2,2338.7,312.7,36.5,10.3,281.9,256.1,210.6,45.5,25.8,50.2,10.6,39.6,15.0,26.9,12.3,24.0,22.7,,,2.9,4.5,13.7,41.3,176274.0,2015.0
1959-04-30,399.9,358.2,2353.8,312.2,40.0,11.2,284.4,258.6,212.9,45.7,25.8,50.2,10.1,40.1,15.4,27.3,12.3,24.0,22.7,,,2.8,4.5,13.8,41.7,176503.0,2029.0
1959-05-31,402.4,360.3,2366.6,316.1,38.1,10.6,286.6,260.8,215.0,45.8,25.9,50.3,9.9,40.4,15.4,27.6,12.4,23.8,22.5,,,2.6,4.5,13.9,42.1,176723.0,2039.0
1959-06-30,404.8,362.6,2374.5,318.2,38.2,10.5,288.3,262.3,216.3,46.0,26.0,50.5,9.7,40.9,15.4,28.0,12.6,24.0,22.7,,,2.7,4.5,14.0,42.2,176954.0,2049.0
1959-07-31,405.4,362.8,2370.8,317.8,38.7,10.7,288.2,262.1,216.0,46.1,26.1,50.5,9.4,41.1,15.8,28.3,12.6,24.1,22.8,,,2.6,4.5,14.0,42.7,177208.0,2047.0
1959-08-31,403.7,361.2,2356.8,320.2,34.7,9.6,286.2,260.2,214.0,46.2,26.0,50.1,9.3,40.9,15.8,28.6,12.8,24.0,22.7,,,2.6,4.4,13.8,42.6,177479.0,2035.0
1959-09-30,405.1,362.3,2357.8,324.2,31.6,8.7,286.4,260.4,214.0,46.4,26.0,50.4,9.4,41.1,15.8,28.9,12.8,24.4,23.1,,,2.7,4.4,13.8,42.8,177755.0,2038.0
1959-10-31,406.6,363.4,2359.5,322.8,34.1,9.4,287.2,261.1,214.7,46.3,26.1,50.4,9.9,40.5,16.0,29.3,12.9,24.5,23.2,,,2.7,4.4,13.8,43.2,178026.0,2041.0
1959-11-30,409.9,366.3,2376.6,322.9,36.8,10.1,289.5,263.2,216.6,46.6,26.2,50.7,10.1,40.5,16.0,29.6,12.9,25.1,23.7,,,3.2,4.4,13.9,43.7,178273.0,2054.0
1959-12-31,414.6,370.2,2399.7,322.9,40.7,11.0,293.9,267.4,220.4,47.0,26.5,50.7,10.2,40.5,16.0,30.0,13.1,24.9,23.5,,,2.9,4.5,14.1,44.4,178504.0,2074.0
1960-01-31,415.7,370.8,2404.9,323.6,40.6,10.9,297.9,270.1,222.8,47.3,27.8,50.0,9.6,40.4,16.2,30.4,13.2,24.4,23.1,,,2.5,4.3,16.4,44.9,178925.0,2073.0
1960-02-29,416.6,371.3,2405.3,325.3,39.2,10.6,298.8,270.8,223.1,47.7,28.0,49.7,9.6,40.1,16.2,30.6,13.2,24.5,23.2,,,2.5,4.4,16.4,45.3,179326.0,2070.0
1960-03-31,417.6,371.9,2408.1,330.2,35.0,9.4,299.5,271.3,223.2,48.1,28.1,49.5,9.7,39.8,16.2,30.7,13.2,25.0,23.7,,,2.7,4.4,16.4,45.7,179707.0,2070.0
1960-04-30,420.6,374.7,2417.3,336.5,31.4,8.4,301.2,273.0,224.6,48.4,28.2,50.5,10.4,40.1,16.4,30.7,13.2,25.1,23.8,,,2.8,4.4,16.5,45.9,180067.0,2081.0
1960-05-31,422.1,376.0,2422.6,330.0,38.9,10.4,302.0,273.7,225.0,48.7,28.3,50.8,10.7,40.2,16.4,30.9,13.3,25.2,23.9,,,2.8,4.5,16.4,46.1,180408.0,2084.0
1960-06-30,422.6,376.5,2424.9,330.1,39.3,10.4,302.0,273.5,224.7,48.8,28.5,50.8,10.8,40.0,16.4,31.0,13.3,25.6,24.3,,,3.0,4.5,16.5,46.1,180728.0,2083.0
1960-07-31,424.1,377.7,2428.8,331.4,39.3,10.4,302.9,274.4,224.6,49.7,28.5,50.9,10.9,40.0,16.5,31.2,13.4,25.6,24.3,,,3.0,4.4,16.5,46.3,181028.0,2087.0
1960-08-31,424.1,377.5,2423.3,331.6,38.8,10.3,302.4,273.8,223.9,49.9,28.6,50.9,11.0,39.8,16.5,31.3,13.5,26.0,24.7,,,3.1,4.5,16.5,46.6,181308.0,2082.0
1960-09-30,424.9,378.3,2426.7,333.4,37.7,10.0,302.5,273.8,223.7,50.0,28.7,50.8,11.1,39.7,16.5,31.5,13.6,26.5,25.2,,,3.5,4.6,16.5,46.6,181567.0,2083.0
1960-10-31,426.7,380.1,2435.6,335.4,37.4,9.8,303.6,274.9,224.6,50.2,28.8,51.1,11.2,39.8,16.7,31.7,13.6,26.5,25.2,,,3.5,4.5,16.5,46.6,181807.0,2091.0
1960-11-30,426.3,379.8,2425.5,335.4,37.1,9.8,302.5,273.7,223.2,50.5,28.8,51.0,11.3,39.7,16.7,31.8,13.6,27.1,25.8,,,3.7,4.6,16.4,46.5,182026.0,2087.0
1960-12-31,424.4,378.2,2414.6,331.3,39.5,10.4,300.2,271.4,220.6,50.8,28.8,51.0,11.4,39.6,16.7,32.0,13.3,27.5,26.1,,,3.9,4.6,16.2,46.2,182225.0,2075.0
1961-01-31,428.3,381.9,2437.9,332.2,42.3,11.1,302.7,273.4,222.6,50.8,29.2,52.1,11.6,40.6,16.9,32.0,13.5,27.8,26.5,,,4.0,4.7,16.8,46.4,182404.0,2094.0
1961-02-28,430.3,383.8,2448.1,333.7,42.7,11.1,302.8,273.4,222.3,51.1,29.3,52.3,11.6,40.7,16.9,32.1,13.6,29.4,28.1,,,4.2,5.9,16.8,46.5,182631.0,2102.0
1961-03-31,431.9,385.2,2458.4,337.7,40.2,10.4,303.9,274.5,223.1,51.4,29.4,52.6,11.5,41.1,16.9,32.3,13.6,29.2,27.9,,,4.3,5.4,16.7,46.6,182867.0,2107.0
1961-04-30,432.5,385.8,2463.4,337.6,40.8,10.6,305.1,275.5,224.0,51.5,29.6,52.3,10.9,41.4,17.1,32.6,13.5,28.8,27.4,,,4.7,4.3,16.8,46.7,183105.0,2107.0
1961-05-31,436.1,389.2,2483.5,339.9,41.9,10.8,307.1,277.4,225.6,51.8,29.7,52.6,10.9,41.7,17.1,32.9,13.6,29.7,28.4,,,5.6,4.4,16.9,47.0,183335.0,2123.0
1961-06-30,440.5,393.3,2509.1,340.9,45.1,11.5,309.8,279.9,227.9,52.1,29.8,53.1,10.9,42.2,17.1,33.2,13.8,30.6,29.2,,,5.5,5.2,17.0,47.1,183572.0,2143.0
1961-07-31,442.7,395.5,2517.6,340.6,47.5,12.0,311.1,281.2,228.8,52.3,29.9,53.1,11.0,42.1,17.3,33.5,13.8,30.9,29.6,,,4.7,6.2,17.0,47.1,183825.0,2152.0
1961-08-31,443.3,395.9,2517.7,342.1,46.3,11.7,312.7,282.6,229.8,52.8,30.1,53.3,11.0,42.3,17.3,33.8,13.9,29.5,28.1,,,4.5,4.4,17.1,47.4,184101.0,2150.0
1961-09-30,444.3,396.7,2519.9,344.4,44.8,11.3,313.2,283.0,229.7,53.3,30.2,53.5,11.1,42.4,17.3,34.1,14.1,29.2,27.8,,,4.1,4.3,17.1,47.7,184384.0,2151.0
1961-10-31,448.7,400.8,2546.6,346.5,46.8,11.7,316.2,285.8,232.1,53.7,30.3,54.1,11.4,42.7,17.5,34.6,14.3,29.2,27.8,,,3.9,4.3,17.2,47.9,184654.0,2171.0
1961-11-30,452.7,404.6,2570.1,349.9,47.1,11.6,319.4,288.9,234.7,54.2,30.5,54.6,11.5,43.0,17.5,34.8,14.4,29.3,27.9,,,3.7,4.3,17.4,48.2,184900.0,2188.0
1961-12-31,455.6,407.1,2585.8,352.4,47.1,11.6,321.2,290.5,235.8,54.6,30.7,54.8,11.7,43.1,17.5,35.1,14.7,29.7,28.3,,,3.6,4.8,17.4,48.4,185129.0,2199.0
1962-01-31,456.0,406.9,2579.4,353.2,46.1,11.3,322.8,290.8,235.8,55.0,32.0,55.1,11.9,43.2,17.7,34.8,14.4,29.9,28.5,,,3.6,4.6,18.8,49.1,185347.0,2195.0
1962-02-28,459.1,409.8,2590.9,354.0,48.2,11.8,325.3,293.1,237.8,55.3,32.2,55.3,11.9,43.4,17.7,35.1,14.6,29.9,28.4,,,3.5,4.6,18.8,49.3,185551.0,2209.0
1962-03-31,462.9,413.1,2608.1,357.4,48.0,11.6,328.3,295.9,240.4,55.6,32.4,55.5,11.8,43.7,17.7,35.4,14.7,30.2,28.7,,,3.5,4.5,19.0,49.8,185762.0,2224.0
1962-04-30,465.8,415.4,2619.6,359.0,48.6,11.7,330.8,298.2,242.4,55.8,32.6,55.2,11.3,43.9,18.0,36.1,14.9,29.9,28.4,,,3.3,4.5,19.1,50.4,185981.0,2234.0
1962-05-31,466.8,415.9,2621.1,362.0,46.0,11.1,331.4,298.7,242.7,56.0,32.7,55.1,11.1,44.0,18.0,36.5,15.0,30.0,28.4,,,3.1,4.5,19.1,50.9,186201.0,2234.0
1962-06-30,467.7,416.2,2621.6,360.4,47.8,11.5,332.1,299.3,243.2,56.2,32.8,54.6,10.8,43.7,17.9,37.0,15.1,30.1,28.6,,,3.1,4.5,19.1,51.5,186426.0,2233.0
1962-07-31,469.7,417.8,2633.0,361.4,48.3,11.6,333.2,300.3,244.0,56.3,32.9,54.7,10.6,44.1,18.2,37.4,15.0,30.3,28.7,,,3.0,4.5,19.2,51.9,186664.0,2238.0
1962-08-31,471.1,418.8,2635.5,362.9,47.7,11.4,333.7,300.6,244.2,56.5,33.1,54.8,10.6,44.2,18.2,37.8,15.2,30.6,29.0,,,3.0,4.5,19.2,52.3,186924.0,2240.0
1962-09-30,473.7,421.0,2636.3,368.8,44.0,10.4,335.8,302.6,245.9,56.7,33.2,55.1,10.7,44.4,18.1,38.2,15.3,30.4,28.8,,,3.1,4.4,19.3,52.7,187191.0,2249.0
1962-10-31,475.7,422.6,2649.3,366.5,47.8,11.3,336.0,302.8,245.4,57.3,33.3,55.3,11.1,44.2,18.3,38.5,15.2,31.4,29.8,,,3.1,4.9,19.2,53.1,187449.0,2255.0
1962-11-30,477.8,424.1,2656.5,371.7,44.0,10.4,337.9,304.5,246.9,57.6,33.4,55.9,11.3,44.6,18.3,38.8,15.1,31.1,29.4,,,3.1,4.6,19.3,53.7,187685.0,2260.0
1962-12-31,479.8,425.9,2669.0,373.6,43.8,10.3,339.1,305.5,247.5,57.9,33.6,56.1,11.4,44.7,18.3,39.0,15.8,31.0,29.3,,,3.0,4.6,19.3,53.9,187905.0,2267.0
1963-01-31,484.0,430.0,2688.2,374.4,47.0,10.9,341.0,306.4,248.2,58.2,34.5,56.2,11.5,44.6,18.5,38.8,15.8,35.1,33.3,,,3.2,8.2,21.3,54.0,188113.0,2286.0
1963-02-28,481.9,427.9,2672.3,373.4,45.9,10.7,342.6,307.9,249.3,58.6,34.7,55.9,11.4,44.5,18.5,39.0,15.8,31.4,29.6,,,3.2,4.4,21.3,54.0,188300.0,2273.0
1963-03-31,483.7,429.4,2683.6,375.0,45.6,10.6,344.4,309.6,250.6,59.0,34.9,55.8,11.3,44.6,18.5,39.2,15.7,31.5,29.7,,,3.1,4.4,21.4,54.3,188484.0,2278.0
1963-04-30,485.0,431.1,2694.6,376.4,46.0,10.7,345.1,310.1,251.1,59.0,35.0,55.8,10.9,44.9,18.7,39.5,15.8,31.5,29.7,,,3.1,4.4,21.5,53.9,188685.0,2285.0
1963-05-31,487.9,433.5,2705.0,377.2,47.4,10.9,347.3,312.2,252.8,59.4,35.2,55.7,10.8,44.9,18.7,39.8,16.1,31.8,29.9,,,3.1,4.4,21.5,54.4,188904.0,2295.0
1963-06-30,491.3,436.6,2718.6,381.7,45.9,10.5,350.2,314.8,255.0,59.7,35.4,55.8,10.8,45.1,18.7,40.1,16.4,31.8,29.9,,,3.1,4.4,21.7,54.6,189130.0,2309.0
1963-07-31,492.5,438.0,2721.6,384.4,44.4,10.1,350.7,315.1,255.3,59.8,35.6,55.9,10.6,45.3,18.8,40.5,16.4,31.8,30.0,,,3.0,4.4,21.7,54.5,189369.0,2313.0
1963-08-31,494.9,440.3,2732.5,386.3,44.8,10.2,352.4,316.7,256.5,60.2,35.8,56.2,10.6,45.5,18.8,40.9,16.3,32.0,30.1,,,3.0,4.4,21.7,54.6,189629.0,2322.0
1963-09-30,498.2,443.5,2752.9,385.5,48.7,11.0,354.8,318.8,258.2,60.6,36.0,56.6,10.8,45.8,18.8,41.3,16.3,32.1,30.2,,,3.0,4.4,21.9,54.6,189895.0,2336.0
1963-10-31,501.9,447.0,2768.9,386.0,51.5,11.5,357.0,320.8,259.3,61.5,36.3,57.4,11.2,46.2,18.8,41.8,16.5,32.3,30.4,,,3.0,4.5,22.0,54.9,190147.0,2351.0
1963-11-30,503.6,448.5,2774.7,389.4,49.5,11.0,358.1,321.6,259.7,61.9,36.5,57.5,11.2,46.3,18.8,42.2,16.6,32.3,30.4,,,3.0,4.4,22.0,55.1,190369.0,2356.0
1963-12-31,508.4,452.8,2797.1,394.7,48.5,10.7,361.1,324.3,261.9,62.4,36.8,57.9,11.0,46.9,18.8,42.6,17.2,33.0,31.0,,,3.0,4.8,22.2,55.6,190570.0,2376.0
1964-01-31,511.3,455.3,2806.4,396.8,48.8,10.7,361.6,324.9,262.3,62.7,36.6,57.7,10.1,47.6,18.8,42.9,17.3,34.9,32.9,,,2.9,6.7,21.9,56.0,190763.0,2387.0
1964-02-29,514.1,457.4,2815.3,400.2,47.5,10.4,366.0,329.0,265.9,63.1,37.0,57.9,9.8,48.0,18.8,43.2,17.5,32.8,30.7,,,2.9,4.4,22.1,56.7,190953.0,2395.0
1964-03-31,517.0,468.5,2882.1,401.8,56.9,12.1,368.0,330.7,267.2,63.6,37.2,58.1,9.6,48.5,18.8,43.6,17.6,33.0,30.9,,,2.8,4.5,22.1,48.5,191146.0,2451.0
1964-04-30,520.6,471.4,2897.7,402.8,58.6,12.4,370.4,332.9,269.1,63.8,37.5,58.7,9.6,49.1,18.8,44.0,17.7,33.2,31.0,,,2.9,4.5,22.2,49.2,191346.0,2464.0
1964-05-31,523.8,473.9,2912.9,408.4,55.5,11.7,372.8,334.9,270.8,64.2,37.8,58.8,9.5,49.3,18.8,44.4,18.1,33.2,31.0,,,3.0,4.4,22.3,49.8,191557.0,2474.0
1964-06-30,526.3,476.2,2922.5,411.4,54.7,11.5,374.7,336.7,272.1,64.5,38.0,58.9,9.4,49.5,18.8,44.8,18.3,33.2,31.0,,,2.8,4.4,22.3,50.2,191778.0,2483.0
1964-07-31,529.9,479.0,2936.4,414.9,53.8,11.2,377.4,339.1,273.8,65.3,38.3,58.9,9.2,49.8,18.9,45.2,18.4,33.5,31.2,,,2.8,4.5,22.4,50.9,192010.0,2495.0
1964-08-31,533.3,481.5,2949.4,417.7,53.4,11.1,380.4,341.7,276.1,65.6,38.6,59.2,9.3,50.0,18.9,45.6,18.3,33.4,31.2,,,2.7,4.4,22.5,51.7,192254.0,2505.0
